вулиця іоанна павла ii;вулиця іоана павла 2-го
вулиця степана рудницького;вулиця академіка вільямса
проспект європейського союзу;проспект правди
вулиця героїв полку «азов»;вулиця героїв полку "азов"
бульвар жуля верна;бульвар жюля верна
вулиця чорних запорожців;вулиця петра запорожця
вулиця івана дзюби;вулиця сім'ї сосніних
провулок оксани вороніної; провулок металістів
вулиця зої бутенко;вулиця сєченова
вулиця братів чибінєєвих;вулиця чернігівська
вулиця анатолія петрицького;вулиця петрицького
проспект георгія гонгадзе;проспект гонгадзе
вулиця василя іваниса;вулиця миколи матеюка
вулиця генерала наумова / приладний;вулиця генерала наумова
провулок івана мар'яненка;провулок мар’яненка івана
вулиця сімʼї кульженків;вулиця сім'ї кульженків (дехтяренка петра),вулиця сім'ї кульженків
вулиця вʼячеслава чорновола;вулиця в'ячеслава чорновола, вулиця вячеслава чорновола
вулиця левка лукʼяненка;вулиця левка лук'яненка
вулиця анатолія соловʼяненка;вулиця анатолія солов'яненка
проспект маршала рокосовського;проспект маршала рокоссовського
вулиця вахтанга кікабідзе;вулиця булгакова